Seconds,Closed,Pending,Connected,Service Available
0,0,1,0,1000
1,0,2,159,1000
2,0,13,297,1000
3,0,155,297,1000
4,0,289,299,1000
5,0,417,300,1000
6,0,542,302,1000
7,0,658,303,1000
8,0,694,306,1000
9,0,693,307,1000
10,0,691,309,0
11,2,689,309,0
12,4,688,308,0
13,4,687,309,0
14,7,686,307,0
15,8,684,308,0
16,9,682,309,0
17,12,676,312,0
18,14,674,312,0
19,15,673,312,0
20,18,672,310,0
21,174,672,154,1000
22,215,672,113,1000
23,216,672,112,1000
24,216,582,202,1000
25,219,477,304,1000
26,221,476,303,1000
27,221,474,305,1000
28,221,473,306,1000
29,221,473,306,1000
30,221,473,306,0
31,221,473,306,0
32,221,473,306,0
33,221,473,306,0
34,221,473,306,0
35,221,473,306,0
36,221,473,306,0
37,224,473,303,0
38,224,473,303,0
39,224,473,303,0
40,225,473,302,0
41,324,471,205,1000
42,327,371,302,1000
43,329,368,303,1000
44,415,282,303,1000
45,424,273,303,1000
46,424,273,303,1000
47,426,273,301,1000
48,427,273,300,1000
49,428,273,299,1000
50,428,273,299,0
51,428,273,299,0
52,428,273,299,0
53,428,273,299,0
54,428,273,299,0
55,428,273,299,0
56,428,273,299,0
57,431,273,296,0
58,431,273,296,0
59,431,273,296,0
60,432,273,295,0
61,529,273,198,1000
62,530,273,197,1000
63,530,273,197,1000
64,618,273,109,1000
65,623,273,104,1000
66,623,273,104,1000
67,625,273,102,1000
68,626,273,101,1000
69,627,273,100,1000
70,627,273,100,1000
71,627,273,100,1000
72,627,273,100,1000
73,627,273,100,1000
74,627,273,100,1000
75,628,241,131,1000
76,629,119,252,1000
77,633,84,283,1000
78,634,66,300,1000
79,635,66,299,1000
80,636,66,298,1000
81,725,66,209,1000
82,725,66,209,1000
83,726,65,209,1000
84,728,63,209,1000
85,729,62,209,0
86,791,0,209,0
87,791,0,209,0
88,791,0,209,0
89,791,0,209,0
90,791,0,209,0
91,791,0,209,0
92,791,0,209,0
93,791,0,209,0
94,791,0,209,0
95,824,0,176,0
96,896,0,104,1000
97,899,0,101,1000
98,900,0,100,1000
99,900,0,100,1000
100,901,0,99,1000
101,989,0,11,1000
